
Artist,Title,Length,

"Elaquent","Airwalk (ft. Chester Watson)",202

"Elaquent","Alone in the Dark",122

"Elaquent","Annoyed (ft. Saturn, Alexander)",181

"Elaquent","Atrophy",150

"Elaquent","Chase the Light (ft. Cavalier)",213

"Elaquent","For You, Anything",201

"Elaquent","Forever Intro",51

"Elaquent","Guidelines (ft. Oddisee)",247

"Elaquent","Jolloff",196

"Elaquent","Lottery Check (ft. Brainorchestra)",162

"Elaquent","Once Upon A Time",155

"Elaquent","One Week - (ft. a l l i e)",205

"Elaquent","Reminisce (ft. Blu & Cicero)",179

"Elaquent","Sleight of Hand",192

"Elaquent","Social Experiment",155

"Elaquent","The End",92

"Elaquent","Thread Count (ft. Guilty Simpson)",181

"Elaquent","Time (ft. Lost Like Alex)",115

"Elaquent","Vices",212

"Elaquent","Year One",164
